PROPERTY.GROUP,LATITUDE,LONGITUDE
19267,41.7816036,-87.62186728
19268,41.78062165,-87.62184262
19279,41.78703349,-87.61593659
19281,41.7864109,-87.61592274
19282,41.78579736,-87.61652936
19283,41.78256968,-87.61583014
19284,41.78246783,-87.6158278
19288,41.78033305,-87.61648443
19290,41.78728687,-87.62357172
19291,41.78673187,-87.62373602
19298,41.78732913,-87.62107983
19300,41.78548189,-87.62171788
19301,41.78552729,-87.61976233
19302,41.78573894,-87.62023272
19303,41.78376785,-87.61605579
19316,41.78321778,-87.61312365
19329,41.7816137,-87.61338173
19333,41.7824698,-87.60737874
19335,41.78210001,-87.60827458
19343,41.78200367,-87.61261238
19345,41.78218913,-87.6152774
19348,41.78113018,-87.61550009
19359,41.78518649,-87.61106306
19360,41.78501717,-87.61105828
19369,41.78444334,-87.61457926
19382,41.78574174,-87.60740122
19395,41.78284667,-87.60450722
19406,41.78340845,-87.60290055
19420,41.78215275,-87.60223493
19422,41.78317773,-87.59105136
19425,41.78204673,-87.59153311
19433,41.78158712,-87.59481427
19440,41.78159175,-87.59094967
19461,41.78351963,-87.64334056
19462,41.78150969,-87.64167237
19469,41.78270516,-87.654434
19476,41.78157497,-87.64743841
19483,41.78069309,-87.664103
19488,41.78526255,-87.65479385
19489,41.77961479,-87.66202924
19497,41.77947733,-87.67013473
19509,41.78633359,-87.69251991
19512,41.77933184,-87.68367576
19516,41.77934176,-87.68548031
19518,41.78021918,-87.68381371
19523,41.77932186,-87.70085804
19525,41.78256739,-87.70309667
19526,41.77967507,-87.7030105
19531,41.78274231,-87.70160022
19536,41.77928866,-87.69934614
19537,41.77939786,-87.69964158
19539,41.77911214,-87.70113022
19541,41.77915738,-87.69803998
19543,41.78615531,-87.70349314
19548,41.7797754,-87.70373046
19549,41.779075,-87.70363675
19554,41.77913544,-87.72262737
19570,41.7787115,-87.61573757
19571,41.77866642,-87.61573659
19572,41.77793474,-87.61571455
19573,41.77731374,-87.6156998
19574,41.77725729,-87.61569846
19575,41.77708793,-87.61569443
19577,41.77611598,-87.61566912
19578,41.77549546,-87.61565522
19580,41.7788468,-87.61574048
19581,41.77853022,-87.61573253
19584,41.77804675,-87.60938309
19591,NA,NA
19595,41.77512317,-87.60811944
19607,41.77489674,-87.61543603
19609,NA,NA
19615,NA,NA
19618,41.77407333,-87.60077368
19622,41.77442546,-87.5995684
19627,41.77408211,-87.59985424
19629,41.77490579,-87.60229879
19632,41.77803751,-87.604795
19637,41.77886642,-87.59651806
19644,41.77334353,-87.59635672
19653,41.77748903,-87.59314971
19654,41.77470595,-87.59308912
19664,41.77795355,-87.58652921
19665,41.77708361,-87.58673425
